modifier_and_type,method,description
String[],"split(Stringregex,
     int limit)",Splits this string around matches of the givenregular expression.
boolean,startsWith(Stringprefix),Tests if this string starts with the specified prefix.
boolean,"startsWith(Stringprefix,
          int toffset)","Tests if the substring of this string beginning at the
 specified index starts with the specified prefix."
CharSequence,"subSequence(int beginIndex,
           int endIndex)",Returns a character sequence that is a subsequence of this sequence.
String,substring(int beginIndex),Returns a string that is a substring of this string.
String,"substring(int beginIndex,
         int endIndex)",Returns a string that is a substring of this string.
char[],toCharArray(),Converts this string to a new character array.
String,toLowerCase(),"Converts all of the characters in thisStringto lower
 case using the rules of the default locale."
String,toLowerCase(Localelocale),"Converts all of the characters in thisStringto lower
 case using the rules of the givenLocale."
String,toString(),This object (which is already a string!) is itself returned.
String,toUpperCase(),"Converts all of the characters in thisStringto upper
 case using the rules of the default locale."
String,toUpperCase(Localelocale),"Converts all of the characters in thisStringto upper
 case using the rules of the givenLocale."
String,trim(),"Returns a string whose value is this string, with any leading and trailing
 whitespace removed."
staticString,valueOf(boolean b),Returns the string representation of thebooleanargument.
staticString,valueOf(char c),Returns the string representation of thecharargument.
staticString,valueOf(char[] data),"Returns the string representation of thechararray
 argument."
staticString,"valueOf(char[] data,
       int offset,
       int count)",Returns the string representation of a specific subarray of thechararray argument.
staticString,valueOf(double d),Returns the string representation of thedoubleargument.
staticString,valueOf(float f),Returns the string representation of thefloatargument.
staticString,valueOf(int i),Returns the string representation of theintargument.
staticString,valueOf(long l),Returns the string representation of thelongargument.
staticString,valueOf(Objectobj),Returns the string representation of theObjectargument.
