modifier_and_type,method,description
static long,"max(long a,
   long b)",Returns the greater of twolongvalues.
static double,"min(double a,
   double b)",Returns the smaller of twodoublevalues.
static float,"min(float a,
   float b)",Returns the smaller of twofloatvalues.
static int,"min(int a,
   int b)",Returns the smaller of twointvalues.
static long,"min(long a,
   long b)",Returns the smaller of twolongvalues.
static int,"multiplyExact(int x,
             int y)","Returns the product of the arguments,
 throwing an exception if the result overflows anint."
static long,"multiplyExact(long x,
             long y)","Returns the product of the arguments,
 throwing an exception if the result overflows along."
static int,negateExact(int a),"Returns the negation of the argument, throwing an exception if the
 result overflows anint."
static long,negateExact(long a),"Returns the negation of the argument, throwing an exception if the
 result overflows along."
static double,"nextAfter(double start,
         double direction)","Returns the floating-point number adjacent to the first
 argument in the direction of the second argument."
static float,"nextAfter(float start,
         double direction)","Returns the floating-point number adjacent to the first
 argument in the direction of the second argument."
static double,nextDown(double d),"Returns the floating-point value adjacent todin
 the direction of negative infinity."
static float,nextDown(float f),"Returns the floating-point value adjacent tofin
 the direction of negative infinity."
static double,nextUp(double d),"Returns the floating-point value adjacent todin
 the direction of positive infinity."
static float,nextUp(float f),"Returns the floating-point value adjacent tofin
 the direction of positive infinity."
static double,"pow(double a,
   double b)","Returns the value of the first argument raised to the power of the
 second argument."
static double,random(),"Returns adoublevalue with a positive sign, greater
 than or equal to0.0and less than1.0."
static double,rint(double a),"Returns thedoublevalue that is closest in value
 to the argument and is equal to a mathematical integer."
static long,round(double a),"Returns the closestlongto the argument, with ties
 rounding to positive infinity."
static int,round(float a),"Returns the closestintto the argument, with ties
 rounding to positive infinity."
static double,"scalb(double d,
     int scaleFactor)","Returnsd×
 2scaleFactorrounded as if performed
 by a single correctly rounded floating-point multiply to a
 member of the double value set."
static float,"scalb(float f,
     int scaleFactor)","Returnsf×
 2scaleFactorrounded as if performed
 by a single correctly rounded floating-point multiply to a
 member of the float value set."
static double,signum(double d),"Returns the signum function of the argument; zero if the argument
 is zero, 1.0 if the argument is greater than zero, -1.0 if the
 argument is less than zero."
static float,signum(float f),"Returns the signum function of the argument; zero if the argument
 is zero, 1.0f if the argument is greater than zero, -1.0f if the
 argument is less than zero."
static double,sin(double a),Returns the trigonometric sine of an angle.
static double,sinh(double x),Returns the hyperbolic sine of adoublevalue.
static double,sqrt(double a),Returns the correctly rounded positive square root of adoublevalue.
static int,"subtractExact(int x,
             int y)","Returns the difference of the arguments,
 throwing an exception if the result overflows anint."
static long,"subtractExact(long x,
             long y)","Returns the difference of the arguments,
 throwing an exception if the result overflows along."
static double,tan(double a),Returns the trigonometric tangent of an angle.
static double,tanh(double x),Returns the hyperbolic tangent of adoublevalue.
static double,toDegrees(double angrad),"Converts an angle measured in radians to an approximately
 equivalent angle measured in degrees."
static int,toIntExact(long value),"Returns the value of thelongargument;
 throwing an exception if the value overflows anint."
static double,toRadians(double angdeg),"Converts an angle measured in degrees to an approximately
 equivalent angle measured in radians."
static double,ulp(double d),Returns the size of an ulp of the argument.
static float,ulp(float f),Returns the size of an ulp of the argument.
