modifier_and_type,method,description
static <T> void,"parallelPrefix(T[] array,BinaryOperator<T> op)","Cumulates, in parallel, each element of the given array in place,
 using the supplied function."
static <T> void,"parallelPrefix(T[] array,
              int fromIndex,
              int toIndex,BinaryOperator<T> op)","PerformsparallelPrefix(Object[], BinaryOperator)for the given subrange of the array."
static void,"parallelSetAll(double[] array,IntToDoubleFunctiongenerator)","Set all elements of the specified array, in parallel, using the
 provided generator function to compute each element."
static void,"parallelSetAll(int[] array,IntUnaryOperatorgenerator)","Set all elements of the specified array, in parallel, using the
 provided generator function to compute each element."
static void,"parallelSetAll(long[] array,IntToLongFunctiongenerator)","Set all elements of the specified array, in parallel, using the
 provided generator function to compute each element."
static <T> void,"parallelSetAll(T[] array,IntFunction<? extends T> generator)","Set all elements of the specified array, in parallel, using the
 provided generator function to compute each element."
static void,parallelSort(byte[] a),Sorts the specified array into ascending numerical order.
static void,"parallelSort(byte[] a,
            int fromIndex,
            int toIndex)",Sorts the specified range of the array into ascending numerical order.
static void,parallelSort(char[] a),Sorts the specified array into ascending numerical order.
static void,"parallelSort(char[] a,
            int fromIndex,
            int toIndex)",Sorts the specified range of the array into ascending numerical order.
static void,parallelSort(double[] a),Sorts the specified array into ascending numerical order.
static void,"parallelSort(double[] a,
            int fromIndex,
            int toIndex)",Sorts the specified range of the array into ascending numerical order.
static void,parallelSort(float[] a),Sorts the specified array into ascending numerical order.
static void,"parallelSort(float[] a,
            int fromIndex,
            int toIndex)",Sorts the specified range of the array into ascending numerical order.
static void,parallelSort(int[] a),Sorts the specified array into ascending numerical order.
static void,"parallelSort(int[] a,
            int fromIndex,
            int toIndex)",Sorts the specified range of the array into ascending numerical order.
static void,parallelSort(long[] a),Sorts the specified array into ascending numerical order.
static void,"parallelSort(long[] a,
            int fromIndex,
            int toIndex)",Sorts the specified range of the array into ascending numerical order.
static void,parallelSort(short[] a),Sorts the specified array into ascending numerical order.
static void,"parallelSort(short[] a,
            int fromIndex,
            int toIndex)",Sorts the specified range of the array into ascending numerical order.
static <T extendsComparable<? super T>>void,parallelSort(T[] a),"Sorts the specified array of objects into ascending order, according
 to thenatural orderingof its elements."
static <T> void,"parallelSort(T[] a,Comparator<? super T> cmp)","Sorts the specified array of objects according to the order induced by
 the specified comparator."
static <T extendsComparable<? super T>>void,"parallelSort(T[] a,
            int fromIndex,
            int toIndex)","Sorts the specified range of the specified array of objects into
 ascending order, according to thenatural orderingof its
 elements."
static <T> void,"parallelSort(T[] a,
            int fromIndex,
            int toIndex,Comparator<? super T> cmp)","Sorts the specified range of the specified array of objects according
 to the order induced by the specified comparator."
static void,"setAll(double[] array,IntToDoubleFunctiongenerator)","Set all elements of the specified array, using the provided
 generator function to compute each element."
static void,"setAll(int[] array,IntUnaryOperatorgenerator)","Set all elements of the specified array, using the provided
 generator function to compute each element."
static void,"setAll(long[] array,IntToLongFunctiongenerator)","Set all elements of the specified array, using the provided
 generator function to compute each element."
static <T> void,"setAll(T[] array,IntFunction<? extends T> generator)","Set all elements of the specified array, using the provided
 generator function to compute each element."
static void,sort(byte[] a),Sorts the specified array into ascending numerical order.
static void,"sort(byte[] a,
    int fromIndex,
    int toIndex)",Sorts the specified range of the array into ascending order.
static void,sort(char[] a),Sorts the specified array into ascending numerical order.
static void,"sort(char[] a,
    int fromIndex,
    int toIndex)",Sorts the specified range of the array into ascending order.
static void,sort(double[] a),Sorts the specified array into ascending numerical order.
static void,"sort(double[] a,
    int fromIndex,
    int toIndex)",Sorts the specified range of the array into ascending order.
static void,sort(float[] a),Sorts the specified array into ascending numerical order.
static void,"sort(float[] a,
    int fromIndex,
    int toIndex)",Sorts the specified range of the array into ascending order.
static void,sort(int[] a),Sorts the specified array into ascending numerical order.
static void,"sort(int[] a,
    int fromIndex,
    int toIndex)",Sorts the specified range of the array into ascending order.
static void,sort(long[] a),Sorts the specified array into ascending numerical order.
static void,"sort(long[] a,
    int fromIndex,
    int toIndex)",Sorts the specified range of the array into ascending order.
static void,sort(Object[] a),"Sorts the specified array of objects into ascending order, according
 to thenatural orderingof its elements."
static void,"sort(Object[] a,
    int fromIndex,
    int toIndex)","Sorts the specified range of the specified array of objects into
 ascending order, according to thenatural orderingof its
 elements."
static void,sort(short[] a),Sorts the specified array into ascending numerical order.
static void,"sort(short[] a,
    int fromIndex,
    int toIndex)",Sorts the specified range of the array into ascending order.
static <T> void,"sort(T[] a,Comparator<? super T> c)","Sorts the specified array of objects according to the order induced by
 the specified comparator."
static <T> void,"sort(T[] a,
    int fromIndex,
    int toIndex,Comparator<? super T> c)","Sorts the specified range of the specified array of objects according
 to the order induced by the specified comparator."
staticSpliterator.OfDouble,spliterator(double[] array),"Returns aSpliterator.OfDoublecovering all of the specified
 array."
staticSpliterator.OfDouble,"spliterator(double[] array,
           int startInclusive,
           int endExclusive)","Returns aSpliterator.OfDoublecovering the specified range of
 the specified array."
staticSpliterator.OfInt,spliterator(int[] array),Returns aSpliterator.OfIntcovering all of the specified array.
staticSpliterator.OfInt,"spliterator(int[] array,
           int startInclusive,
           int endExclusive)","Returns aSpliterator.OfIntcovering the specified range of the
 specified array."
staticSpliterator.OfLong,spliterator(long[] array),Returns aSpliterator.OfLongcovering all of the specified array.
staticSpliterator.OfLong,"spliterator(long[] array,
           int startInclusive,
           int endExclusive)","Returns aSpliterator.OfLongcovering the specified range of the
 specified array."
static <T>Spliterator<T>,spliterator(T[] array),Returns aSpliteratorcovering all of the specified array.
static <T>Spliterator<T>,"spliterator(T[] array,
           int startInclusive,
           int endExclusive)","Returns aSpliteratorcovering the specified range of the
 specified array."
staticDoubleStream,stream(double[] array),"Returns a sequentialDoubleStreamwith the specified array as its
 source."
staticDoubleStream,"stream(double[] array,
      int startInclusive,
      int endExclusive)","Returns a sequentialDoubleStreamwith the specified range of the
 specified array as its source."
staticIntStream,stream(int[] array),"Returns a sequentialIntStreamwith the specified array as its
 source."
staticIntStream,"stream(int[] array,
      int startInclusive,
      int endExclusive)","Returns a sequentialIntStreamwith the specified range of the
 specified array as its source."
staticLongStream,stream(long[] array),"Returns a sequentialLongStreamwith the specified array as its
 source."
staticLongStream,"stream(long[] array,
      int startInclusive,
      int endExclusive)","Returns a sequentialLongStreamwith the specified range of the
 specified array as its source."
static <T>Stream<T>,stream(T[] array),"Returns a sequentialStreamwith the specified array as its
 source."
static <T>Stream<T>,"stream(T[] array,
      int startInclusive,
      int endExclusive)","Returns a sequentialStreamwith the specified range of the
 specified array as its source."
staticString,toString(boolean[] a),Returns a string representation of the contents of the specified array.
staticString,toString(byte[] a),Returns a string representation of the contents of the specified array.
staticString,toString(char[] a),Returns a string representation of the contents of the specified array.
staticString,toString(double[] a),Returns a string representation of the contents of the specified array.
staticString,toString(float[] a),Returns a string representation of the contents of the specified array.
staticString,toString(int[] a),Returns a string representation of the contents of the specified array.
staticString,toString(long[] a),Returns a string representation of the contents of the specified array.
staticString,toString(Object[] a),Returns a string representation of the contents of the specified array.
staticString,toString(short[] a),Returns a string representation of the contents of the specified array.
